sampleName	sampelID	ontology	data
acantholytic_squamous_carcinoma_cell_line_HCC1806	CNhs11844	acantholytic_squamous_carcinoma	cellLine
acute_lymphoblastic_leukemia_(B-ALL)_cell_line_BALL-1	CNhs11251	acute_lymphoblastic_leukemia_(B-ALL)	cellLine
acute_lymphoblastic_leukemia_(B-ALL)_cell_line_NALM-6	CNhs11282	acute_lymphoblastic_leukemia_(B-ALL)	cellLine
acute_lymphoblastic_leukemia_(T-ALL)_cell_line_HPB-ALL	CNhs10746	acute_lymphoblastic_leukemia_(T-ALL)	cellLine
acute_lymphoblastic_leukemia_(T-ALL)_cell_line_Jurkat	CNhs11253	acute_lymphoblastic_leukemia_(T-ALL)	cellLine
acute_myeloid_leukemia_(FAB_M0)_cell_line_KG-1	CNhs13053	acute_myeloid_leukemia_(FAB_M0)	cellLine
acute_myeloid_leukemia_(FAB_M1)_cell_line_HYT-1	CNhs13054	acute_myeloid_leukemia_(FAB_M1)	cellLine
acute_myeloid_leukemia_(FAB_M2)_cell_line_Kasumi-1	CNhs13502	acute_myeloid_leukemia_(FAB_M2)	cellLine
acute_myeloid_leukemia_(FAB_M2)_cell_line_Kasumi-6	CNhs13052	acute_myeloid_leukemia_(FAB_M2)	cellLine
acute_myeloid_leukemia_(FAB_M2)_cell_line_NKM-1	CNhs11864	acute_myeloid_leukemia_(FAB_M2)	cellLine
acute_myeloid_leukemia_(FAB_M3)_cell_line_HL60	CNhs13055	acute_myeloid_leukemia_(FAB_M3)	cellLine
acute_myeloid_leukemia_(FAB_M4)_cell_line_FKH-1	CNhs13503	acute_myeloid_leukemia_(FAB_M4)	cellLine
acute_myeloid_leukemia_(FAB_M4)_cell_line_HNT-34	CNhs13504	acute_myeloid_leukemia_(FAB_M4)	cellLine
acute_myeloid_leukemia_(FAB_M4eo)_cell_line_EoL-1	CNhs13056	acute_myeloid_leukemia_(FAB_M4eo)	cellLine
acute_myeloid_leukemia_(FAB_M4eo)_cell_line_EoL-3	CNhs13057	acute_myeloid_leukemia_(FAB_M4eo)	cellLine
acute_myeloid_leukemia_(FAB_M5)_cell_line_NOMO-1	CNhs13050	acute_myeloid_leukemia_(FAB_M5)	cellLine
acute_myeloid_leukemia_(FAB_M5)_cell_line_P31%2FFUJ	CNhs13051	acute_myeloid_leukemia_(FAB_M5)	cellLine
acute_myeloid_leukemia_(FAB_M5)_cell_line_THP-1_(fresh)	CNhs10722	acute_myeloid_leukemia_(FAB_M5)	cellLine
acute_myeloid_leukemia_(FAB_M5)_cell_line_THP-1_(revived)	CNhs10723	acute_myeloid_leukemia_(FAB_M5)	cellLine
acute_myeloid_leukemia_(FAB_M5)_cell_line_THP-1_(thawed)	CNhs10724	acute_myeloid_leukemia_(FAB_M5)	cellLine
acute_myeloid_leukemia_(FAB_M5)_cell_line_U-937_DE-4	CNhs13058	acute_myeloid_leukemia_(FAB_M5)	cellLine
acute_myeloid_leukemia_(FAB_M6)_cell_line_EEB	CNhs13059	acute_myeloid_leukemia_(FAB_M6)	cellLine
acute_myeloid_leukemia_(FAB_M6)_cell_line_F-36E	CNhs13060	acute_myeloid_leukemia_(FAB_M6)	cellLine
acute_myeloid_leukemia_(FAB_M6)_cell_line_F-36P	CNhs13505	acute_myeloid_leukemia_(FAB_M6)	cellLine
acute_myeloid_leukemia_(FAB_M7)_cell_line_M-MOK	CNhs13049	acute_myeloid_leukemia_(FAB_M7)	cellLine
acute_myeloid_leukemia_(FAB_M7)_cell_line_MKPL-1	CNhs11888	acute_myeloid_leukemia_(FAB_M7)	cellLine
adenocarcinoma_cell_line_IM95m	CNhs11882	adenocarcinoma	cellLine
adrenal_cortex_adenocarcinoma_cell_line_SW-13	CNhs11893	adrenal_cortex_adenocarcinoma	cellLine
adult_T-cell_leukemia_cell_line_ATN-1	CNhs10738	adult_T-cell_leukemia	cellLine
alveolar_cell_carcinoma_cell_line_SW_1573	CNhs11838	alveolar_cell_carcinoma	cellLine
anaplastic_carcinoma_cell_line_8305C	CNhs10745	anaplastic_carcinoma	cellLine
anaplastic_large_cell_lymphoma_cell_line_Ki-JK	CNhs11881	anaplastic_large_cell_lymphoma	cellLine
anaplastic_squamous_cell_carcinoma_cell_line_RPMI_2650	CNhs11889	anaplastic_squamous_cell_carcinoma	cellLine
argyrophil_small_cell_carcinoma_cell_line_TC-YIK	CNhs11725	argyrophil_small_cell_carcinoma	cellLine
astrocytoma_cell_line_TM-31	CNhs10742	astrocytoma	cellLine
b_cell_line_RPMI1788	CNhs10744	b	cellLine
B_lymphoblastoid_cell_line__GM12878_ENCODE,_biol_rep1	CNhs12331	B_lymphoblastoid	cellLine
B_lymphoblastoid_cell_line__GM12878_ENCODE,_biol_rep2	CNhs12332	B_lymphoblastoid	cellLine
B_lymphoblastoid_cell_line__GM12878_ENCODE,_biol_rep3	CNhs12333	B_lymphoblastoid	cellLine
basal_cell_carcinoma_cell_line_TE_354	CNhs11932	basal_cell_carcinoma	cellLine
bile_duct_carcinoma_cell_line_HuCCT1	CNhs10750	bile_duct_carcinoma	cellLine
bile_duct_carcinoma_cell_line_TFK-1	CNhs11265	bile_duct_carcinoma	cellLine
biphenotypic_B_myelomonocytic_leukemia_cell_line_MV-4-11	CNhs11845	biphenotypic_B_myelomonocytic_leukemia	cellLine
bone_marrow_stromal_cell_line_StromaNKtert	CNhs11931	bone_marrow_stromal	cellLine
breast_carcinoma_cell_line_MCF7	CNhs11943	breast_carcinoma	cellLine
breast_carcinoma_cell_line_MDA-MB-453	CNhs10736	breast_carcinoma	cellLine
bronchial_squamous_cell_carcinoma_cell_line_KNS-62	CNhs11862	bronchial_squamous_cell_carcinoma	cellLine
bronchioalveolar_carcinoma_cell_line_NCI-H358	CNhs11840	bronchioalveolar_carcinoma	cellLine
bronchioalveolar_carcinoma_cell_line_NCI-H650	CNhs14138	bronchioalveolar_carcinoma	cellLine
bronchogenic_carcinoma_cell_line_ChaGo-K-1	CNhs11841	bronchogenic_carcinoma	cellLine
Burkitts_lymphoma_cell_line_DAUDI	CNhs10739	Burkitts_lymphoma	cellLine
Burkitts_lymphoma_cell_line_RAJI	CNhs11268	Burkitts_lymphoma	cellLine
carcinoid_cell_line_NCI-H1770	CNhs11834	carcinoid	cellLine
carcinoid_cell_line_NCI-H727	CNhs14244	carcinoid	cellLine
carcinoid_cell_line_SK-PN-DW	CNhs11846	carcinoid	cellLine
carcinosarcoma_cell_line_JHUCS-1	CNhs11747	carcinosarcoma	cellLine
cervical_cancer_cell_line_D98-AH2	CNhs11288	cervical_cancer	cellLine
cervical_cancer_cell_line_ME-180	CNhs11289	cervical_cancer	cellLine
cholangiocellular_carcinoma_cell_line_HuH-28	CNhs11283	cholangiocellular_carcinoma	cellLine
chondrosarcoma_cell_line_SW_1353	CNhs11833	chondrosarcoma	cellLine
choriocarcinoma_cell_line_BeWo	CNhs10740	choriocarcinoma	cellLine
choriocarcinoma_cell_line_SCH	CNhs11875	choriocarcinoma	cellLine
choriocarcinoma_cell_line_T3M-3	CNhs11820	choriocarcinoma	cellLine
chronic_lymphocytic_leukemia_(T-CLL)_cell_line_SKW-3	CNhs11714	chronic_lymphocytic_leukemia_(T-CLL)	cellLine
chronic_myeloblastic_leukemia_(CML)_cell_line_KCL-22	CNhs11886	chronic_myeloblastic_leukemia_(CML)	cellLine
chronic_myelogenous_leukemia_(CML)_cell_line_MEG-A2	CNhs11865	chronic_myelogenous_leukemia_(CML)	cellLine
chronic_myelogenous_leukemia_cell_line_K562_ENCODE,_biol_rep1	CNhs12334	chronic_myelogenous_leukemia	cellLine
chronic_myelogenous_leukemia_cell_line_K562_ENCODE,_biol_rep2	CNhs12335	chronic_myelogenous_leukemia	cellLine
chronic_myelogenous_leukemia_cell_line_K562_ENCODE,_biol_rep3	CNhs12336	chronic_myelogenous_leukemia	cellLine
chronic_myelogenous_leukemia_cell_line_K562	CNhs11250	chronic_myelogenous_leukemia	cellLine
chronic_myelogenous_leukemia_cell_line_KU812	CNhs10727	chronic_myelogenous_leukemia	cellLine
clear_cell_carcinoma_cell_line_JHOC-5	CNhs11745	clear_cell_carcinoma	cellLine
clear_cell_carcinoma_cell_line_TEN	CNhs11930	clear_cell_carcinoma	cellLine
colon_carcinoma_cell_line_CACO-2	CNhs11280	colon_carcinoma	cellLine
colon_carcinoma_cell_line_COLO-320	CNhs10737	colon_carcinoma	cellLine
cord_blood_derived_cell_line_COBL-a_24h_infection	CNhs11050	cord_blood_derived	cellLine
