ID	bw_plus	bw_minus	cell_count	Cell.lines	Type	replicate	method
HepG2_C1_2	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C1_2_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C1_2_STAR.minus.bw	2.5M	HepG2	C	C1_2	CAGE
HepG2_C1_3	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C1_3_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C1_3_STAR.minus.bw	2.5M	HepG2	C	C1_3	CAGE
HepG2_C2_2	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C2_2_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C2_2_STAR.minus.bw	2.5M	HepG2	C	C2_2	CAGE
HepG2_C2_3	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C2_3_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C2_3_STAR.minus.bw	2.5M	HepG2	C	C2_3	CAGE
HepG2_C3_2	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C3_2_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C3_2_STAR.minus.bw	2.5M	HepG2	C	C3_2	CAGE
HepG2_C3_3	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C3_3_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_C3_3_STAR.minus.bw	2.5M	HepG2	C	C3_3	CAGE
HepG2_N4_2	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N4_2_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N4_2_STAR.minus.bw	2.5M	HepG2	N	N4_2	CAGE
HepG2_N4_3	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N4_3_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N4_3_STAR.minus.bw	2.5M	HepG2	N	N4_3	CAGE
HepG2_N5_2	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N5_2_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N5_2_STAR.minus.bw	2.5M	HepG2	N	N5_2	CAGE
HepG2_N5_3	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N5_3_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N5_3_STAR.minus.bw	2.5M	HepG2	N	N5_3	CAGE
HepG2_N6_2	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N6_2_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N6_2_STAR.minus.bw	2.5M	HepG2	N	N6_2	CAGE
HepG2_N6_3	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N6_3_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/HepG2_N6_3_STAR.minus.bw	2.5M	HepG2	N	N6_3	CAGE
