ID	ENCODE_ID	bw_plus	bw_minus	cell_count	Cell line	Type	replicate	method	use
K562_C1	none	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_C1_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_C1_STAR.minus.bw	1M	K562	C	1	CAGE	yes
K562_C2	none	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_C2_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_C2_STAR.minus.bw	1M	K562	C	2	CAGE	yes
K562_C3	none	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_C3_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_C3_STAR.minus.bw	1M	K562	C	3	CAGE	yes
K562_N4	none	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_N4_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_N4_STAR.minus.bw	1M	K562	N	1	CAGE	yes
K562_N5	none	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_N5_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_N5_STAR.minus.bw	1M	K562	N	2	CAGE	yes
K562_N6	none	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_N6_STAR.plus.bw	/projects/ralab/data/CAGE/cellLinesCAGE/STAR_map/bw_files/K562_N6_STAR.minus.bw	1M	K562	N	3	CAGE	yes
K562_groCtrl_1	ENCFF627RSV	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/k562_GRO-cap/3_k562_GRO-cap_bw/ENCFF627RSV.plus.bw	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/k562_GRO-cap/3_k562_GRO-cap_bw/ENCFF627RSV.minus.bw	10M	K562	Ctrl_align	1	GroCap	no
K562_groCtrl_1	ENCFF265HUU	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/k562_GRO-cap/3_k562_GRO-cap_bw/ENCFF265HUU.plus.bw	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/k562_GRO-cap/3_k562_GRO-cap_bw/ENCFF265HUU.minus.bw	10M	K562	Ctrl_unfiltAlign	1	GroCap	no
K562_groCap_1	ENCFF112MXH	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/k562_GRO-cap/3_k562_GRO-cap_bw/ENCFF112MXH.plus.bw	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/k562_GRO-cap/3_k562_GRO-cap_bw/ENCFF112MXH.minus.bw	10M	K562	Cap_align	1	GroCap	yes
K562_groCap_1	ENCFF745TAJ	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/k562_GRO-cap/3_k562_GRO-cap_bw/ENCFF745TAJ.plus.bw	/projects/ralab/data/GRO-cap/encode_UM1HG009393_JohnLisCornell_GRO-cap/k562_GRO-cap/3_k562_GRO-cap_bw/ENCFF745TAJ.minus.bw	10M	K562	Cap_unfiltAlign	1	GroCap	no
