facet	proximal_0.5	proximal_0.75	distal_0.5	distal_0.75	all_0.5	all_0.75
cord.blood.derived	76318	25011	322381	19857	398699	44868
mesothelioma	94913	25432	164410	4010	259323	29442
spleen	67958	18552	73312	1267	141270	19819
retinal.pigment.epithelial.cell	41484	10303	25042	155	66526	10458
oral.squamous.cell.carcinoma	68424	18792	90049	1806	158473	20598
reticulocyte	42463	14636	96038	2212	138501	16848
myoblast	56375	14712	53830	721	110205	15433
testis	87021	21014	86253	3163	173274	24177
stromal.cell	96620	29296	219619	3626	316239	32922
carcinoid	71782	23637	178308	5191	250090	28828
blood.vessel.endothelial.cell	84470	22747	130723	3565	215193	26312
renal.cell.carcinoma	46505	14050	65409	1071	111914	15121
liposarcoma	57030	15991	65707	915	122737	16906
neuroblastoma	78504	23763	163838	5286	242342	29049
neuroectodermal.tumor	79949	24162	303861	18261	383810	42423
mast.cell	90598	30135	325054	17097	415652	47232
epithelial.cell.of.esophagus	26490	5037	6307	40	32797	5077
monocyte	105057	29274	384167	26382	489224	55656
chondrocyte	70716	23405	172482	2357	243198	25762
hepatocellular.carcinoma	64629	16021	64695	1668	129324	17689
epithelial.cell.of.Malassez	49392	15415	75647	959	125039	16374
clear.cell.carcinoma	53380	15164	67393	978	120773	16142
mesenchymal.cell	116000	35801	328158	9375	444158	45176
macrophage	49259	13451	52314	852	101573	14303
corneal.epithelial.cell	27890	5278	6883	63	34773	5341
lung	88539	25884	146111	3194	234650	29078
prostate.cancer	60529	17614	90456	1608	150985	19222
throat	61804	17958	78440	979	140244	18937
acute.myeloid.leukemia.FAB.M4eo	46491	12688	54361	1028	100852	13716
squamous.cell.carcinoma	56733	16635	78408	1245	135141	17880
embryonic.kidney	66559	20667	120277	2449	186836	23116
serous.adenocarcinoma	49940	13438	47597	491	97537	13929
endothelial.cell.of.lymphatic.vessel	41384	11600	40236	403	81620	12003
tongue	52460	12849	37673	356	90133	13205
mesothelial.cell	50232	12463	37342	452	87574	12915
astrocyte	74877	20310	94581	1481	169458	21791
breast.carcinoma	50429	15037	68203	1228	118632	16265
tendon.cell	42348	9334	15905	145	58253	9479
melanocyte	49450	12131	31078	499	80528	12630
uterus	73653	21869	109210	1987	182863	23856
testicular.germ.cell.embryonal.carcinoma	78727	22341	143362	4197	222089	26538
blood.vessel	63284	17981	78913	1020	142197	19001
bronchioalveolar.carcinoma	53061	15225	70014	1234	123075	16459
choriocarcinoma	66382	18469	98078	2134	164460	20603
T.cell	107096	31194	461237	30945	568333	62139
cervical.cancer	49236	13513	47704	595	96940	14108
fibroblast.of.choroid.plexus	33470	7082	11149	69	44619	7151
preadipocyte	98640	30419	247238	4126	345878	34545
ciliated.epithelial.cell	70029	19995	109001	2280	179030	22275
smooth.muscle.cell.of.trachea	26979	5708	9933	60	36912	5768
large.cell.lung.carcinoma	48148	12571	39053	487	87201	13058
hepatocyte	48910	15726	108818	2822	157728	18548
ductal.cell.carcinoma	44562	12493	46591	570	91153	13063
meninx	72915	21278	96580	1615	169495	22893
fibroblast.of.periodontium	63614	16420	60130	761	123744	17181
fibroblast.of.gingiva	63099	16334	59740	733	122839	17067
squamous.cell.lung.carcinoma	51732	14065	50508	632	102240	14697
gingival.epithelial.cell	44868	11669	36383	486	81251	12155
Wilms.tumor	47879	12754	43333	518	91212	13272
keratocyte	21635	3844	4635	26	26270	3870
pericyte.cell	32757	5871	6085	50	38842	5921
leiomyoma	35590	7054	7520	94	43110	7148
gastric.adenocarcinoma	56772	16568	77077	951	133849	17519
neuronal.stem.cell	70345	20697	371987	31766	442332	52463
thymus	72864	19877	98134	2879	170998	22756
Burkitts.lymphoma	54371	16132	101063	3419	155434	19551
thyroid.carcinoma	58717	15670	62458	992	121175	16662
osteosarcoma	37191	9927	32177	209	69368	10136
embryonic.pancreas	39385	11465	41072	376	80457	11841
neutrophil	35258	8944	67421	4228	102679	13172
lens.epithelial.cell	63132	23509	166777	2857	229909	26366
thyroid.gland	68847	20540	114030	2727	182877	23267
placental.epithelial.cell	35539	6890	9747	152	45286	7042
liver	39818	8680	18740	264	58558	8944
acute.lymphoblastic.leukemia.B.ALL	48753	14893	78511	1408	127264	16301
lung.adenocarcinoma	33083	8313	23865	128	56948	8441
natural.killer.cell	62591	16209	124524	7616	187115	23825
cardiac.fibroblast	64196	16646	61530	644	125726	17290
medulloblastoma	59775	17971	102374	2575	162149	20546
cardiac.myocyte	35974	7808	11978	56	47952	7864
trabecular.meshwork.cell	27965	5179	6748	26	34713	5205
brain	125052	35050	462707	30020	587759	65070
chronic.myelogenous.leukemia	59639	17011	86856	2114	146495	19125
teratocarcinoma	75157	20622	110527	1929	185684	22551
endothelial.cell.of.hepatic.sinusoid	22468	3786	3483	12	25951	3798
gastric.cancer	39944	11167	39115	382	79059	11549
fat.cell	62460	14465	43752	654	106212	15119
small.cell.lung.carcinoma	85052	25277	184996	6519	270048	31796
keratinocyte	64381	17007	69642	863	134023	17870
heart	102051	33258	382503	17978	484554	51236
giant.cell.carcinoma	49121	14083	56597	822	105718	14905
fibroblast.of.lymphatic.vessel	19769	3156	2728	23	22497	3179
epitheloid.carcinoma	63545	15547	59885	1423	123430	16970
Hep.2	73004	16430	56946	1151	129950	17581
epithelial.cell.of.prostate	67357	17103	65320	783	132677	17886
fibroblast.of.tunica.adventitia.of.artery	43236	10052	21165	132	64401	10184
schwannoma	52846	15459	71078	1059	123924	16518
myxofibrosarcoma	39773	11644	43331	387	83104	12031
acute.lymphoblastic.leukemia.T.ALL	57138	17333	106728	2941	163866	20274
amniotic.epithelial.cell	33830	7150	11686	93	45516	7243
respiratory.epithelial.cell	80814	21554	107707	2124	188521	23678
merkel.cell.carcinoma	55580	15872	72732	1189	128312	17061
kidney.epithelial.cell	90738	26485	162981	2590	253719	29075
glioblastoma	63195	18227	93330	1877	156525	20104
dendritic.cell	99461	31696	345592	16191	445053	47887
signet.ring.carcinoma	48808	12910	43911	768	92719	13678
neuron	71434	23499	362599	25958	434033	49457
lymphocyte.of.B.lineage	43786	12506	73151	2895	116937	15401
hair.follicle.cell	38066	8957	21079	153	59145	9110
epidermoid.carcinoma	51691	14086	53868	1031	105559	15117
skeletal.muscle.cell	90059	24074	133198	2391	223257	26465
sensory.epithelial.cell	74211	17786	72249	1019	146460	18805
B.lymphoblastoid	63703	16047	86185	4134	149888	20181
smooth.muscle.cell.of.prostate	49256	11977	31203	232	80459	12209
hepatic.stellate.cell	24817	4557	6219	40	31036	4597
osteoblast	54252	17129	85631	752	139883	17881
vascular.associated.smooth.muscle.cell	94812	25570	153086	3681	247898	29251
acinar.cell	59140	17230	84941	1339	144081	18569
large.intestine	74898	22154	110538	2022	185436	24176
bile.duct.carcinoma	50261	14115	55233	712	105494	14827
